motion_file,primary_label,secondary_label,top_level_label,descriptions
00001_annotations.json,walkingForward,,walking,"[""A person is walking forwards.""]"
00002_annotations.json,walkingForward,,walking,"[""A person walks 4 steps forward.""]"
00003_annotations.json,walking,,walking,"[""A human walking""]"
00004_annotations.json,walkingForwardSlow,,walking,"[""A person walks forward at medium speed."", ""human slowly goes forward""]"
00005_annotations.json,walkingForwardSlow,,walking,"[""A human walks four slow steps forward""]"
00006_annotations.json,walkingForward,,walking,"[""A person goes four and half steps forward."", ""A person walking forward slightly to the right.""]"
00007_annotations.json,walkingForwardSlow,,walking,"[""A person walks slowly for four steps and stops."", ""A person walks four steps to the forward direction.""]"
00008_annotations.json,walkingForwardSlow,,walking,"[""A person walks slowly 4 steps forward.""]"
00009_annotations.json,walkingForwardSlow,,walking,"[""A person stands, then walks a few steps, then stops again"", ""Someone is walking forward slowly doing 4 steps starting with the left leg."", ""A person makes 4 steps forward slowly.""]"
00010_annotations.json,walkingBackward,,walking,"[""A human walking backwards""]"
00011_annotations.json,walkingForward,,walking,"[""A person walks backwards four steps starting with the left foot."", ""Somebody walks backwards.""]"
00013_annotations.json,walkingBackward,,walking,"[""A person walking backwards for a few steps.""]"
00014_annotations.json,walkingForward,,walking,"[""A person walks four steps backward.""]"
00015_annotations.json,walkingBackward,,walking,"[""A person walks backwards.""]"
00016_annotations.json,walkingBackwardSlow,,walking,"[""A person walks backward at a slow speed."", ""A human is walking 4 steps backwards and starting with its left food."", ""A person walks backwards."", ""some is reverse walking"", ""A person takes 4 steps backwards."", ""A person moves backwards 4 steps before standing still"", ""Someone is walking backwards."", ""a man is walking backwards"", ""Somebody walks a few steps backward.""]"
00017_annotations.json,walkingBackwardSlow,,walking,"[""A person walks four steps backwards."", ""A person walks backwards slowly."", ""Somebody walks backward.""]"
00018_annotations.json,walkingBackward,,walking,"[""A person is walking backwards.""]"
00019_annotations.json,walkingCircleCounterClockwise,,walkingTurn,"[""A person turns in a circle"", ""Someone walks in a circle counterclockwise"", ""Somebody wals a circle anticlockwise.""]"
00020_annotations.json,walkingCircleCounterClockwise,,walkingTurn,"[""A person walks in a circle counter clockwise.""]"
00021_annotations.json,walkingCircle,,walkingTurn,"[""A person walks in a square.""]"
00022_annotations.json,walkingCircleCounterClockwise,,walkingTurn,"[""the person is walking in a circular shape"", ""A human walks slowly a full circle to its left."", ""A person walks a full counter-clockwise circle."", ""A person walks in a circle pattern one time.""]"
00023_annotations.json,walkingCircleCounterClockwise,,walkingTurn,"[""A person walks in a counter-clockwise circle."", ""Somebody is walking in a circle."", ""Person walking in a circle"", ""A person is walking in a circle"", ""Someone slowly walks a full circle to the left"", ""walking in a slow circle"", ""Someone walks a complete circle."", ""A person turns around to the beginning."", ""someone is walking a whole round to his left side"", ""a person is walking in a circle shape"", ""a person walks a circle to the left""]"
00024_annotations.json,walkingCircle,,walkingTurn,"[""a person walks a circle""]"
00025_annotations.json,walkingCircleClockwise,,walkingTurn,"[""A person walking in a circle to the left"", ""A person walks a circle in the left direction""]"
00026_annotations.json,walkingCircleCounterClockwise,,walkingTurn,"[""A person walks in a counter-clockwise circle"", ""Someone walks in a circle counterclockwise""]"
00027_annotations.json,walkingCircle,,walkingTurn,"[""the person is walking through a circular path"", ""A human is walking in circle.""]"
00028_annotations.json,walkingCircleClockwise,,walkingTurn,"[""human goes in a circle clockwise""]"
00029_annotations.json,walkingCircleClockwise,,walkingTurn,"[""A person walking in a circle to the right"", ""Somebody walks a circle clockwise.""]"
00030_annotations.json,walkingCircleClockwise,,walkingTurn,"[""A person walks in a clockwise circle"", ""A person running in a full circle, clockwise.""]"
00031_annotations.json,walkingCircleClockwise,,walkingTurn,"[""A person walks a circle clock-wise."", ""A person walks in clock-wise circle."", ""A human is walking in a circle to the right.""]"
